lat;lng;CH4;WindDir;WindSpeed
48.87707;2.17586;2.2;299.3;1.6
48.87707;2.17586;2.15;293.3;1.6
48.87707;2.17586;2.14;293.3;1.6
48.87706833;2.175853333;2.13;293.3;1.6
48.87706833;2.175853333;2.15;291.8;1.9
48.87706833;2.175853333;2.08;291.8;1.9
48.87706833;2.175848333;2.06;291.8;1.9
48.87706833;2.175848333;2.04;283.1;2.3
48.87706833;2.175848333;2.01;283.1;2.3
48.87706667;2.175841667;2;283.1;2.3
48.87706667;2.175841667;1.99;279.6;2.9
48.87706667;2.175841667;1.97;279.6;2.9
48.87706333;2.175835;1.95;279.6;2.9
48.87706333;2.175835;1.95;285;2.8
48.87706333;2.175835;1.94;285;2.8
48.87706167;2.17583;1.94;285;2.8
48.87706167;2.17583;1.95;280.9;2.6
48.87706167;2.17583;1.96;280.9;2.6
48.877065;2.175833333;1.98;280.9;2.6
48.877065;2.175833333;2.02;294.8;2.8
48.877065;2.175833333;2.06;294.8;2.8
48.87707;2.175838333;2.11;294.8;2.8
48.87707;2.175838333;2.21;292.6;1.9
48.87707;2.175838333;2.25;292.6;1.9
48.87707333;2.17584;2.31;292.6;1.9
48.87707333;2.17584;2.4;289.8;2
48.87707333;2.17584;2.37;289.8;2
48.87707667;2.17584;2.35;289.8;2
48.87707667;2.17584;2.29;284.9;2.2
48.87707667;2.17584;2.22;284.9;2.2
48.87708;2.175843333;2.19;284.9;2.2
48.87708;2.175843333;2.15;294.3;2.3
48.87708;2.175843333;2.08;294.3;2.3
48.877085;2.175846667;2.06;294.3;2.3
48.877085;2.175846667;2.05;290.1;2.3
48.877085;2.175846667;2.05;290.1;2.3
48.87708833;2.17585;2.06;290.1;2.3
48.87708833;2.17585;2.08;291.9;2.5
48.87709;2.175853333;2.09;291.9;2.5
48.87709;2.175853333;2.08;291.9;2.5
48.87709;2.175853333;2.04;281.2;2.6
48.87709;2.175853333;2.05;281.2;2.6
48.87709167;2.175856667;2.08;281.2;2.6
48.87709167;2.175856667;2.1;273.6;2.5
48.87709167;2.175856667;2.1;273.6;2.5
48.87709333;2.175861667;2.1;273.6;2.5
48.87709333;2.175861667;2.11;271;2.7
48.87709333;2.175861667;2.12;271;2.7
48.877095;2.175863333;2.16;271;2.7
48.877095;2.175863333;2.2;276.6;2.2
48.877095;2.175863333;2.29;276.6;2.2
48.87709333;2.175865;2.22;276.6;2.2
48.87709333;2.175865;2.14;260.2;2.4
48.87709333;2.175865;2.11;260.2;2.4
48.87708833;2.175865;2.09;260.2;2.4
48.87708833;2.175865;2.07;258.3;2.2
48.87708833;2.175865;2.04;258.3;2.2
48.87708333;2.175866667;2.01;258.3;2.2
48.87708333;2.175866667;1.99;270.4;1.9
48.87708333;2.175866667;1.98;270.4;1.9
48.87708;2.175865;1.98;270.4;1.9
48.87708;2.175865;2;256.6;2
48.87708;2.175865;2.02;256.6;2
48.87707667;2.175863333;2.02;256.6;2
48.87707667;2.175863333;2.04;267;2.4
48.87707667;2.175863333;2.05;267;2.4
48.877075;2.175861667;2.07;267;2.4
48.877075;2.175861667;2.08;270.1;2.9
48.877075;2.175861667;2.08;270.1;2.9
48.87707333;2.17586;2.07;270.1;2.9
48.87707333;2.17586;2.06;307.1;2.3
48.87707333;2.17586;2.04;307.1;2.3
48.87707167;2.175856667;2.03;307.1;2.3
48.87707167;2.175856667;2.03;304.1;1.9
